Timestamp	Min	Average	Max
1293868800	770	1696	450
1293872400	698	1639	430
1293876000	654	1523	411
1293879600	645	1503	404
1293883200	662	1630	395
1293886800	754	1760	444
1293890400	860	2114	509
1293894000	938	2522	507
1293897600	1038	2413	590
1293901200	1020	2167	613
1293904800	970	1907	605
1293908400	911	1694	562
1293912000	924	1727	568
1293915600	883	1606	458
1293919200	825	1427	442
1293922800	829	1411	532
1293926400	929	1823	600
1293930000	1176	2175	729
1293933600	1223	2317	788
1293937200	1167	2339	797
1293940800	1106	2202	687
1293944400	1000	2011	533
1293948000	838	1660	451
1293951600	708	1454	403
1293955200	656	1264	346
1293958800	632	1241	316
1293962400	603	1187	316
1293966000	602	1235	343
1293969600	618	1287	381
1293973200	673	1311	421
1293976800	785	1566	483
1293980400	900	1649	544
1293984000	953	1772	603
1293987600	963	1610	596
1293991200	965	1486	476
1293994800	871	1428	472
1293998400	851	1364	455
1294002000	813	1299	361
1294005600	818	1266	328
1294009200	846	1345	428
1294012800	922	1468	519
1294016400	1158	2066	641
1294020000	1244	2196	620
1294023600	1177	2003	577
1294027200	1152	2009	593
1294030800	1056	1836	516
1294034400	920	1705	456
1294038000	785	1531	359
1294041600	724	1596	412
1294045200	677	1585	370
1294048800	654	1581	352
1294052400	656	1560	340
1294056000	683	1661	354
1294059600	759	1782	443
1294063200	918	2075	547
1294066800	978	2235	626
1294070400	988	1943	634
1294074000	956	1653	483
1294077600	926	1577	480
1294081200	879	1523	469
1294084800	877	1566	466
1294088400	877	1599	489
1294092000	867	1463	535
1294095600	877	1618	597
1294099200	947	1828	615
1294102800	1197	2311	676
1294106400	1257	2390	621
1294110000	1216	2268	595
1294113600	1137	1939	510
1294117200	1020	1770	465
1294120800	854	1549	361
1294124400	725	1380	356
1294128000	644	1323	322
1294131600	623	1349	292
1294135200	608	1382	279
1294138800	608	1364	346
1294142400	644	1502	346
1294146000	766	1760	466
1294149600	947	1919	582
1294153200	990	2073	598
1294156800	922	2082	483
1294160400	877	1771	516
1294164000	781	1453	365
1294167600	765	1259	392
1294171200	739	1311	350
1294174800	717	1320	308
1294178400	678	1250	367
1294182000	703	1243	378
1294185600	800	1272	508
1294189200	1065	1773	761
1294192800	1181	2017	705
1294196400	1132	1850	656
1294200000	1106	1883	574
1294203600	986	1762	467
1294207200	809	1423	399
1294210800	698	1285	348
1294214400	627	1288	336
1294218000	600	1271	326
1294221600	596	1302	332
1294225200	585	1258	308
1294228800	645	1499	404
1294232400	751	1645	472
1294236000	944	1832	663
1294239600	947	1736	597
1294243200	855	1821	516
1294246800	791	1648	476
1294250400	734	1301	403
1294254000	703	1221	399
1294257600	674	1037	417
1294261200	641	1009	334
1294264800	631	1022	334
